"Code","Scientific_Name","Description_en","Description_fr","Description_es"
"MVR","Morus serrator","Australasian gannet","Fou austral","Alcatraz australiano"
"MVS","Megalonaias nervosa","Washboard","",""
"MVT","Mastocarpus stellatus","","",""
"MVU","Microcosmus vulgaris","Sand violet","Violet de sable","Boniato de mar"
"MVV","Molgula kerguelenensis","","",""
"MVW","Molgula malvinensis","","",""
"MVX","Brevoortia spp","Menhadens nei","Menhadens nca","Lachas nep"
"MVY","Minnivola pyxidata","Box scallop","Coquille St-Jacques pyxide",""
"MVZ","Molgula pedunculata","","",""
"MWA","Mya spp","Gaper nei","Mye nca",""
"MWB","Molgula sluiteri","","",""
"MWC","Eptatretus cirrhatus","Broadgilled hagfish","",""
"MWE","Morus capensis","Cape gannet","Fou du Cap","Alcatraz del Cabo"
"MWF","Metanephrops spp","Metanephrops lobsters nei","Langoustine Metanephrops nca","Cigalas Metanephrops nep"
"MWG","Melanostigma gelatinosum","Limp eelpout","",""
"MWJ","Microlipophrys bauchotae","","",""
"MWK","Muraena augusti","","","Morena de la Macaronesia"
"MWL","Metapenaeopsis wellsi","Velvet shrimp","",""
"MWM","Melamphaes microps","","",""
"MWO","Muraenolepis orangiensis","Patagonian moray cod","Gadomurène de Patagonie","Gadimorena patagónica"
"MWP","Malacanthus plumieri","Sand tilefish","Matajuel blanc","Matajuelo blanco"
"MWQ","Mactra spp","Trough shells nei","Mactres nca","Mactras nep"
"MWR","Melanocetus rossi","","",""
"MWS","Muraenolepis microcephalus","Smallhead moray cod","Gadomurène microcéphale","Gadimorena microcéfala"
"MWT","Misgurnus fossilis","Weatherfish","Loche d'étang","Misgurno"
"MWU","Mullus argentinae","Argentine goatfish","Rouget-barbet argentin","Trilla"
"MWX","Myliobatis spp","","",""
"MWY","Mastacembelus erythrotaenia","Fire eel","",""
"MXA","Xenophthalmichthys danae","","",""
"MXB","Myxodagnus belone","","",""
"MXC","Myxodes cristatus","","",""
"MXE","Myxus elongatus","Sand grey mullet","",""
"MXF","Macrocystis integrifolia","","","Huiro canutillo"
"MXG","Monotaxis grandoculis","Humpnose big-eye bream","Empereur bossu","Emperador jorobado"
"MXH","Meretrix petechialis","Spotted hard clam","",""
"MXI","Mithrax spinosissimus","Channel-clinging crab","Crabe royal des Caraïbes","Cangrejo rey del Caribe"
"MXJ","Myoxocephalus jaok","Plain sculpin","",""
"MXK","Meretrix casta","Backwater hard clam","",""
"MXL","Meretrix lyrata","Lyrate hard clam","Cythérée lyre",""
"MXM","Monothrix mizolepis","","",""
"MXN","Melanocetidae","Black seadevils nei","",""
"MXO","Myoxocephalus octodecemspinosus","Longhorn sculpin","",""
"MXP","Agamyxis pectinifrons","Whitebarred catfish","",""
"MXQ","Macquaria novemaculeata","Australian bass","",""
"MXR","Maxillicosta raoulensis","","",""
"MXS","Myxocyprinus asiaticus","Chinese sucker","",""
"MXT","Mithrax armatus","Harbour spidercrab","Araignée portuaire","Araña porteña"
"MXU","Myrichthys pardalis","Leopard eel","Serpenton léopard","Tieso leopardo"
"MXV","Myoxocephalus scorpius","Shorthorn sculpin","Chaboisseau à épines courtes",""
"MXW","Pimelodus spp","","",""
"MXX","Murex scolopax","Scalloped murex","",""
"MXY","Macrocystis pyrifera","Giant kelp","Varech géant","Cachiyuyo"
"MXZ","Myrophis plumbeus","Leaden worm eel","",""
"MYA","Mytilus planulatus","Australian mussel","Moule d'Australie","Mejillón de Australia"
"MYB","Eptatretus burgeri","Inshore hagfish","",""
"MYC","Mytilus chilensis","Chilean mussel","Moule chilienne","Chorito"
"MYD","Myliobatis tenuicaudatus","Eagle ray","",""
"MYE","Nemamyxine elongata","","",""
"MYF","Myliobatis californica","Bat eagle ray","",""
"MYG","Myxine glutinosa","Hagfish","Myxine","Pez moco"
"MYH","Myliobatis chilensis","","",""
"MYI","Microsynodontis batesii","","",""
"MYJ","Myliobatis tobijei","Japanese eagle ray","",""
"MYK","Microphysogobio koreensis","","",""
"MYL","Myliobatis aquila","Common eagle ray","Aigle commun","Aguila marina"
"MYM","Myliobatis freminvillei","Bullnose eagle ray","Aigle de mer taureau","Águila naríz de vaca"
"MYN","Hemibagrus nemurus","Asian redtail catfish","",""
"MYO","Myliobatis goodei","Southern eagle ray","",""
"MYP","Paramyxine atami","Brown hagfish","",""
"MYQ","Campylonotus rathbunae","Sabre prawn","Raguié sabre","Camarón sable"
"MYR","Myliobatis australis","Australian bull ray","",""
"MYS","Mysticeti","Baleen whales nei","Baleines mysticètes nca","Ballenas mysticetas nep"
"MYT","Myliobatis longirostris","Snouted eagle ray","",""
"MYU","Eptatretus stoutii","Pacific hagfish","",""
"MYV","Mytilus spp","Mytilus mussels nei","Moules Mytilus nca","Mejillónes Mytilus nep"
"MYW","Marilyna darwinii","","",""
"MYX","Myxinidae","Hagfishes nei","Mixynes nca","Mixinos nep"
"MYY","Myliobatis hamlyni","Purple eagle ray","",""
"MYZ","Mugil soiuy","So-iuy mullet","Mulet so-iuy","Lisa so-iuy"
"MZA","Mystriophis crosnieri","Spoon-nose eel","",""
"MZB","Mystriophis rostellatus","African spoon-nose eel","",""
"MZC","Lestidiops cadenati","","",""
"MZD","Lestidiops sphyrenoides","","",""
"MZE","Uropterygius wheeleri","Jigsaw moray","",""
"MZF","Benthalbella infans","Zugmayer's pearleye","",""
"MZG","Bathysaurus mollis","Highfin lizardfish","",""
"MZH","Molpadia musculus","","",""
"MZJ","Zenion japonicum","","",""
"MZL","Mazzaella laminarioides","","","Luga cuchara o corta"
"MZM","Scinaia hormoides","Moniliform sea moss","",""
"MZP","Mystacoleucus padangensis","","",""
"MZS","Scorpaena maderensis","Madeira rockfish","Rascasse de Madère","Rascacio de Madeira"
"MZT","Microchirus theophila","Bastard sole","Sole-perdrix juive","Acevía senegalesa"
"MZU","Mormyrus spp","Bottlenose fishes nei","",""
"MZX","Malea spp","","",""
"MZY","Melanonus zugmayeri","Arrowtail","",""
"MZZ","Osteichthyes","Marine fishes nei","Poissons marins nca","Peces marinos nep"
"NAA","Nandus nandus","Gangetic leaffish","",""
"NAB","Naso brevirostris","Spotted unicornfish","",""
"NAC","Anarrhichthys ocellatus","Wolf-eel","",""
"NAE","Narcetes erimelas","","",""
"NAF","Anampses geographicus","Geographic wrasse","",""
"NAG","Pangio agma","","",""
"NAH","Parapenaeopsis hungerfordi","Dog shrimp","Crevette chien","Camarón perro"
"NAI","Naso lituratus","Orangespine unicornfish","",""
"NAJ","Pinna muricata","Prickly pen shell","Jambonneau epineux",""
"NAK","Parapenaeopsis acclivirostris","Hawknose shrimp","Crevette aquiline","Camarón aguileño"
"NAL","Nannocampus elegans","Elegant pipefish","",""
"NAM","Panna microdon","Panna croaker","",""
"NAN","Nansenia spp","","",""
"NAO","Nautichthys oculofasciatus","Sailfin sculpin","",""
"NAP","Parapenaeopsis sculptilis","Rainbow shrimp","Crevette arc-en-ciel","Camarón arco iris"
"NAQ","Anomalocardia squamosa","Squamose venus","Vénus écailleuse",""
"NAR","Monodon monoceros","Narwhal","Narval","Narval"
"NAS","Naso unicornis","Bluespine unicornfish","Nason à éperons bleus","Berbero de aguijon azul"
"NAT","Anacanthus barbatus","Bearded leatherjacket","",""
"NAU","Naucrates ductor","Pilotfish","Poisson pilote","Pez piloto"
"NAV","Nannosalarias nativitatus","Pygmy blenny","",""
"NAW","Parapenaeopsis hardwickii","Spear shrimp","Crevette javelot","Camarón lanzón"
"NAX","Parapenaeopsis maxillipedo","Torpedo shrimp","Crevette torpille","Camarón torpedo"
"NAY","Parapenaeopsis stylifera","Kiddi shrimp","Crevette kidi","Camarón kidi"
"NAZ","Nassarius gibbosulus","Gibbous nassa","Nasse bossue","Mugarida jorobada"
"NBA","Nibea maculata","Blotched croaker","",""
"NBB","Neogobius bathybius","","",""
"NBC","Notolabrus celidotus","Spotty","",""
"NBD","Anampses meleagrides","Spotted wrasse","",""
"NBE","Nalbantichthys elongatus","","",""
"NBF","Champsodon capensis","Gaper","",""
"NBG","Chascanopsetta lugubris","Pelican flounder","Perpeire pélican","Lenguado pelícano"
"NBI","Acanthemblemaria spinosa","Spinyhead blenny","",""
"NBK","Prionobutis koilomatodon","Mud sleeper","",""
"NBM","Nebris microps","Smalleye croaker","",""
"NBN","Mauligobius nigri","","",""
"NBO","Nebris occidentalis","Pacific smalleye croaker","",""
"NBP","Acanthemblemaria aspera","Roughhead blenny","",""
"NBR","Caranx bartholomaei","Yellow jack","Carangue grasse","Cojinua amarilla"
"NBS","Nibea semifasciata","Sharpnose croaker","",""
"NBT","Neobuccinum eatoni","Antarctic whelk","Buccin antarctique","Bucino antártico"
"NBU","Neogobius melanostomus","Round goby","",""
"NBX","Nassarius spp","","",""
"NBY","Nothobranchius cyaneus","","",""
"NBZ","Percnon gibbesi","Nimble spray crab","","Araña plana"
"NCA","Plectranthias altipinnatus","","",""
"NCB","Neoclinus blanchardi","Sarcastic fringehead","",""
"NCC","Chitala chitala","Clown knifefish","",""
"NCD","Nicholsina denticulata","Loosetooth parrotfish","",""
"NCE","Notoclinops caerulepunctus","Blue-dot triplefin","",""
"NCF","Nematocarcinus africanus","African spider shrimp","Crevette araignée d'Afrique","Camarón araña africano"
"NCG","Chitala lopis","Giant featherback","",""
"NCH","Notocheirus hubbsi","","",""
"NCI","Nacella concinna","Antarctic limpet","Patelle antarctique","Patela antártica"
"NCJ","Nacella edgari","Depressed limpet","Patelle plate","Patela chata"
"NCK","Lipkebe holthuisi","","",""
"NCL","Paphia spp","Short neck clams nei","",""
"NCM","Notocrangon antarcticus","","",""
"NCN","Nannacara anomala","Goldeneye cichlid","",""
"NCO","Nematalosa come","Western Pacific gizzard shad","",""
"NCP","Nectoliparis pelagicus","Tadpole snailfish","",""
"NCQ","Acanthostracion quadricornis","Scrawled cowfish","",""
"NCR","Neocirrhites armatus","Flame hawkfish","",""
"NCS","Nanochromis consortus","","",""
"NCT","Anchichoerops natalensis","Natal wrasse","",""
"NCV","Ceratoscopelus warmingii","Warming’s lanternfish","",""
"NCW","Chitala blanci","Indochina featherback","",""
"NCX","Chicoreus spp","","",""
"NCY","Acanthostracion polygonius","Honeycomb cowfish","",""
"NCZ","Nematocarcinus agassizii","Spider shrimp","Crevette araignée","Camarón araña peruano"
"NDA","Neoditrema ransonneti","","",""
"NDB","Neoglyphidodon bonang","Ocellated damsel","",""
"NDC","Anadara corbuloides","Basket ark","Arche corbeille","Arca canastillo"
"NDD","Pandalopsis dispar","Sidestripe shrimp","Crevette à flancs rayés","Camarón de banda"
"NDE","Anadara ferruginea","Rusty ark","Arche rouillée",""
"NDG","Nototodarus gouldi","Gould's flying squid","Encornet éventail","Pota australiana"
"NDH","Nototodarus hawaiiensis","Hawaiian flying squid","Encornet bouquet","Pota hawaiana"
"NDI","Sandelia bainsii","Rocky kurper","",""
"NDJ","Pandalopsis japonica","Morotoge shrimp","Crevette morotoge","Camarón morotoje"
"NDK","Nibea soldado","Soldier croaker","",""
"NDL","Anadara notabilis","Eared ark","Arche auriculée","Arca orejona"
"NDM","Anadara mazatlanica","Mazatlan's ark","Arche de Mazatlan","Arca de Mazatlan"
"NDN","Anadara grandis","Grand ark","Arche pied d'âne","Arca casco de burro"
"NDO","Anadara nodifera","Nodular ark","Arche noduleuse",""
"NDP","Pandalopsis spp","Pandalopsis shrimps nei","Crevettes Pandalopsis nca","Camarones Pandalopsis nep"
"NDQ","Anadara antiquata","Antique ark","Arche antique",""
"NDR","Andamia reyi","","",""
"NDS","Parapandalus spinipes","Oriental narwal shrimp","Crevette narval orientale","Camarón narval oriental"
"NDT","Anadara multicostata","Many ribbed ark","Arche rayonnante","Arca piangua"
"NDU","Scapharca biangulata","Sowerby's ark","Arche de Sowerby","Arca de Sowerby"
"NDV","Anadara diluvii","Diluvial ark","Arche du déluge","Arca del diluvio"
"NDW","Neolithodes diomedeae","","",""
"NDX","Natica spp","","",""
"NDY","Nodilittorina pyramidalis","Pyramidal prickly-winkle","Littorine pyramidale",""
"NDZ","Anadara ovalis","Blood ark","Arche ovale",""
"NEA","Metanephrops andamanicus","Andaman lobster","Langoustine andamane","Cigala de Andamán"
"NEB","Parapercis colias","New Zealand blue cod","",""
"NEC","Pseudophycis bachus","Red codling","Morue rouge","Brotolilla"
"NED","Tylosurus spp","Needlefishes nei","Aiguilles nca","Maraos nep"
"NEE","Neonoemacheilus labeosus","","",""
"NEF","Neoceratias spinifer","","",""
"NEG","Neophrynichthys angustus","Pale toadfish","",""
"NEH","Nephtys hombergii","","","Blanca"
"NEI","Neolissochilus blanci","","",""
"NEJ","Neohomaloptera johorensis","","",""
"NEK","Neorossia caroli","Carol bobtail squid","Sépiole de Carol","Globito de Carol"
"NEL","Nematabramis alestes","","",""
"NEM","Metanephrops mozambicus","Mozambique lobster","Langoustine du Mozambique","Cigala del Mozambique"
"NEN","Nesiarchus nasutus","Black gemfish","Escolier long nez","Escolar narigudo"
"NEO","Neobola moeruensis","","",""
"NEP","Nephrops norvegicus","Norway lobster","Langoustine","Cigala"
"NER","Nereis diversicolor","Ragworm","","Titxare"
"NES","Nephropsis stewarti","Indian Ocean lobsterette","Langoustine indienne","Cigala del Océano índico"
"NET","Nematobrycon lacortei","Rainbow tetra","",""
"NEU","Neogastromyzon nieuwenhuisii","","",""
"NEX","Nephropidae","True lobsters,lobsterettes nei","Homards, langoustines nca","Bogavantes, cigalas nep"
"NEY","Nemacheilus abyssinicus","","",""
"NEZ","Notosaria nigricans","","",""
"NFA","Strongylura marina","Atlantic needlefish","Aiguillette verte","Agujón verde"
"NFB","Norfolkia brachylepis","Tropical scaly-headed triplefi","",""
"NFC","Neoophorus catarinae","","",""
"NFD","Nansenia macrolepis","","",""
"NFE","Nephropsis ensirostris","Gladiator lobsterette","",""
"NFF","Paranephrops planifrons","Koura crayfish","",""
"NFG","Facciolella gilberti","Dogface witch-eel","",""
"NFH","Nephropsis malhaensis","Saya de Malha lobsterette","",""
"NFI","Nephropsis rosea","Two-toned lobsterette","Langoustine bicolore",""
"NFJ","Neoglyphea inopinata","Fenix lobster","",""
"NFK","Nephropsis acanthura","Spinetail lobsterette","",""
"NFL","Nephropsis sulcata","Grooved lobsterette","",""
"NFM","Nephropsis suhmi","Red and white lobsterette","Langoustine rouge et blanche","Cigala roja y blanca"
"NFN","Nephropsis neglecta","Ruby lobsterette","",""
"NFO","Nephropsis occidentalis","Pacific lobsterette","Langoustine du Pacifique","Cigala del Pacífico"
"NFP","Nephropsis carpenteri","Ridge-back lobsterette","Langoustine à dos strié",""
"NFQ","Neopomacentrus sindensis","Arabian demoiselle","",""
"NFR","Nephropides caribaeus","Mitten lobsterette","Langoustine mitaine",""
"NFS","Niphon spinosus","Ara","",""
"NFT","Nephropsis atlantica","Scarlet lobsterette","Langoustine écarlate","Cigala escarlata"
"NFU","Nephropsis aculeata","Florida lobsterette","Langoustine de Floride","Cigala de Florida"
"NFV","Neopomacentrus cyanomos","Regal demoiselle","",""
"NFX","Melongena spp","","",""
"NFZ","Nephropsis agassizii","Prickly lobsterette","Langoustine épineuse","Cigala de grano"
"NGA","Negaprion acutidens","Sicklefin lemon shark","Requin limon faucille","Tiburón segador"
"NGB","Negaprion brevirostris","Lemon shark","Requin citron","Tiburón galano"
"NGC","Carangoides caeruleopinnatus","Coastal trevally","",""
"NGD","Carangoides dinema","Shadow trevally","",""
"NGE","Carangoides hedlandensis","Bumpnose trevally","",""
"NGF","Nagaichthys filipes","","",""
"NGG","Notograptus guttatus","","",""
"NGH","Carangoides chrysophrys","Longnose trevally","",""
"NGI","Nangra itchkeea","","",""
"NGJ","Carangoides bajad","Orangespotted trevally","Carangue lentigine","Jurel lentejuela"
"NGK","Melongena melongena","West Indian crown conch","Mélongène des Caraïbes","Melongena antillana"
"NGL","Nemuroglanis lanceolatus","","",""
"NGM","Carangoides humerosus","Duskyshoulder trevally","",""
"NGN","Carangoides otrynter","Threadfin jack","",""
"NGO","Carangoides oblongus","Coachwhip trevally","",""
"NGP","Notoglanidium pallidum","","",""
"NGQ","Carangoides equula","Whitefin trevally","",""
"NGR","Carangoides armatus","Longfin trevally","",""
"NGS","Carangoides malabaricus","Malabar trevally","Carangue monique","Jurel malabárico"
"NGT","Carangoides orthogrammus","Island trevally","",""
"NGU","Carangoides fulvoguttatus","Yellowspotted trevally","Carangue pailletée","Jurel centellante"
"NGV","Acentrogobius viridipunctatus","","",""
"NGX","Carangoides spp","","",""
"NGY","Carangoides gymnostethus","Bludger","",""
"NGZ","Notarius grandicassis","Thomas sea catfish","Mâchoiron grondé","Bagre Tomás"
"NHA","Merluccius productus","North Pacific hake","Merlu du Pacifique nord","Merluza del Pacífico norte"
"NHB","Nannatherina balstoni","Balston's pygmy perch","",""
"NHC","Neoheterandria cana","","",""
"NHD","Hoplunnis diomediana","Blacktail pike-conger","",""
"NHE","Annelida","Annelid worms","",""
"NHF","Facciolella oxyrhyncha","Facciola's sorcerer","",""
"NHG","Paranotothenia angustata","Maori chief","",""
"NHH","Halosauropsis macrochir","Abyssal halosaur","",""
"NHI","Acanthacaris tenuimana","Prickly deep-sea lobster","Langoustine spinuleuse","Cigala raspa"
"NHJ","Paranotothenia microlepidota","Black cod","",""
"NHK","Pennahia anea","Donkey croaker","Courbine grise","Corvina plomiza"
"NHL","Ancistroteuthis lichtensteini","Angel squid","Cornet archange","Luria paloma"
"NHM","Pennahia macrocephalus","Big-head pennah croaker","",""
"NHN","Selenanthias analis","Pearl-spotted fairy basslet","",""
"NHO","Nannochloris atomus","","",""
"NHP","Halosaurus pectoralis","Australian halosaur","",""
"NHQ","Paranotothenia dewitti","","",""
"NHR","Canthidermis macrolepis","Largescale triggerfish","",""
"NHS","Neoniphon sammara","Sammara squirrelfish","Marignan tacheté","Candil samara"
"NHT","Acanthaphritis barbata","","",""
"NHU","Halosaurus ovenii","","",""
"NHV","Aldrovandia rostrata","","",""
"NHW","Pennahia pawak","Pawak croaker","",""
"NHX","Pennahia spp","","",""
"NHY","Paranotothenia spp","Paranotothenia nei","Paranotothenia nca","Paranotothenia nep"
"NHZ","Hoplunnis punctata","Slender duckbill eel","",""
"NIA","Penaeopsis balssi","Scythe shrimp","Crevette fausse","Camarón guadaña"
"NIB","Parapenaeopsis balli","Bally shrimp","Crevette ballli","Camarón bali"
"NIC","Apterichtus gracilis","","",""
"NID","Taningia danae","Dana octopus squid","Encornet poulpe dana","Pulpota"
"NIE","Penaeopsis eduardoi","Four-spined needle shrimp","",""
"NIF","Apterichtus monodi","","",""
"NIG","Parapenaeopsis gracillima","Thin shrimp","",""
"NIH","Bascanichthys ceciliae","","",""
"NIL","Senilia senilis","Heavy African ark","Arche épaisse d'Afrique","Arca gruesa africana"
"NIM","Neoepinnula americana","American sackfish","Escolier américain","Escolar americano"
"NIN","Parapenaeopsis nana","Dwarf shrimp","Crevette naine","Camarón enano"
"NIP","Lates niloticus","Nile perch","Perche du Nil","Perca del Nilo"
"NIR","Notiocampus ruber","Red pipefish","",""
"NIS","Penaeopsis serrata","Megalops shrimp","Crevette mégalops","Camarón megalops"
"NIT","Parapenaeopsis tenella","Smoothshell shrimp","Crevette glabre","Camarón liso"
"NIU","Parapenaeopsis uncta","Uncta shrimp","Crevette uncta","Camarón unta"
"NIV","Parapenaeopsis venusta","Adonis shrimp","Crevette adonis","Camarón adonis"
"NIX","Nerita spp","","",""
"NIZ","Parascolopsis townsendi","Scaly dwarf monocle bream","Mamila mignonne","Besugato menudo"
"NJA","Nassarius arcularius","Cake nassa","Nasse coffret",""
"NJB","Natica broderipiana","Broderip's moon snail","Natice lune","Nática luna"
"NJC","Natica chemnitzii","Chemnitz's moon snail","Natice de vase","Nática fanguera"
"NJD","Nassarius dorsatus","Channeled nassa","Nasse canaliculée",""
"NJE","Nerita peloronta","Bleeding tooth","Nérite dent saignante","Nerita diente sangrante"
"NJF","Parascolopsis eriomma","Rosy dwarf monocle bream","Mamila rosée","Besugato rosado"
"NJG","Noetia gambiensis","Gambia ark","Arche de Gambie","Arca de Gambia"
"NJH","Parascolopsis baranesi","","",""
"NJL","Natica lineata","Lined moon snail","Natice lignée",""
"NJN","Nassarius glans","Glans nassa","Nasse rayée",""
"NJO","Nassarius coronatus","Coronate nassa","Nasse couronnée",""
"NJP","Notostomus japonicus","Japanese spinyridge","",""
"NJR","Nassarius crematus","Burned nassa","Nasse brûlée",""
"NJS","Natica stellata","Starry moon snail","Natice étoilée",""
"NJT","Natica tigrina","Tiger moon snail","Natice tigrée","Nática atigrada"
"NJU","Natica gualteriana","Gualteri's moon snail","Natice de Gualteri",""
"NJV","Natica vitellus","Calf moon snail","Natice châtain",""
"NJX","Lithophaga spp","Date mussels nei","",""
"NKA","Natica adansoni","Adanson's moon snail","Natice d'Adanson","Nática de Adanson"
"NKB","Anomalocardia brasiliana","West Indian pointed venus","",""
"NKC","Nassarius cuvieri","Cuvier's nassa","Nasse de Cuvier","Mugarida de Cuvier"
"NKD","Naticarius dillwyni","Dillwyn's moon-shell","Natice de Dillwyn","Nática de Dillwyn"
"NKF","Annachlamys flabellata","Leopard scallop","Pétoncle léopard",""
"NKG","Nacella kerguelenensis","Kerguelen limpet","Patelle de Kerguelen","Patela de Kerguelen"
"NKH","Naticarius hebraeus","Hebrew moon-shell","Natice marbrée","Caracol de luna"
"NKK","Natica marochiensis","Morocco moon snail","Natice du Maroc","Nática marroquí"
"NKL","Ancistrocheirus lesueuri","Sharpear enope squid","Encornet cachalot","Enoploluria rómbica"
"NKM","Natica fulminea","Flamed moon snail","Natice flammée","Nática flamante"
"NKN","Nassarius corniculus","Horned nassa","Nasse fasciée","Mugarida cornea"
"NKO","Natica collaris","Collar moon snail","Natice à collet","Nática engolada"
"NKR","Meganyctiphanes norvegica","Norwegian krill","Krill norvégien","Krill de Noruega"
"NKS","Naticarius stercus-muscarum","Thousand-spotted moon-shell","Natice mille-points","Caracol milpuntos"
"NKT","Natica turtoni","Turton's moon snail","Natice de Turton","Nática deTurton"
"NKV","Naticarius vittatus","Ribboned moon-shell","Natice lancinée","Nática listada"
"NKX","Noetia spp","","",""
"NLA","Neolebias ansorgii","","",""
"NLB","Blenniella bilitonensis","","",""
"NLC","Nematopalaemon schmitti","Whitebelly prawn","Bouquet covac","Camarón cuac"
"NLD","Notopogon lilliei","Crested bellowfish","",""
"NLE","Neolithodes asperrimus","Rough king crab","Crabe royal grêle","Centolla aspera"
"NLG","Panulirus guttatus","Spotted spiny lobster","Langouste brésilienne","Langosta moteada"
"NLH","Nematopalaemon hastatus","West African estuarine prawn","Bouquet étier","Camarón estuarino africano"
"NLI","Panulirus marginatus","Banded spiny lobster","Langouste bordée",""
"NLJ","Panulirus stimpsoni","Chinese spiny lobster","Langouste chinoise","Langosta chinesa"
"NLK","Tonicella rubra","Northern red chiton","",""
"NLL","Natalichthys leptus","Pencil snakelet","",""
"NLM","Neolaeops microphthalmus","Crosseyed flounder","",""
"NLN","Nematopalaemon tenuipes","Spider prawn","Bouquet araignée","Camarón araña Indo-Pacífico"
"NLO","Nemalion helminthoides","Sea spaghetti","Spaghetti de mer","Espagueti de mar"
"NLP","Conniella apterygia","Mutant wrasse","",""
"NLQ","Panulirus pascuensis","Easter Island spiny lobster","",""
"NLS","Notolycodes schmidti","","",""
"NLT","Nealotus tripes","Black snake mackerel","Escolier reptile","Escolar oscuro"
"NLU","Neolumpenus unocellatus","","",""
"NLX","Anomia spp","","",""
"NLY","Nelusetta ayraudi","Chinaman-leatherjacket","",""
"NLZ","Brachysomophis atlanticus","","",""
"NMA","Neomerinthe amplisquamiceps","","",""
"NMB","Nemadoras bachi","","",""
"NMC","Notemigonus crysoleucas","Golden shiner","",""
"NMD","Nemacheilus denisoni","","",""
"NME","Nemateleotris decora","Elegant firefish","",""
"NMF","Metapenaeopsis philippii","Philip velvet shrimp","Crevette chamois philippe","Camarón gamuza Felipe"
"NMG","Nomeus gronovii","Man-of-war fish","","Pastorcillo"
"NMH","Nematops chui","Narrow-body righteye flounder","",""
"NMI","Nematogobius ansorgii","","",""
"NMJ","Metapenaeopsis mogiensis","Mogi velvet shrimp","Crevette chamois mogi","Camarón gamuza mogi"
"NMK","Nematoscelis gracilis","","",""
"NML","Neomyxus leuciscus","Acute-jawed mullet","",""
"NMM","Nematoscelis megalops","","",""
"NMN","Metapenaeopsis palmensis","Southern velvet shrimp","Crevette chamois méridionale","Camarón gamuza sureño"
"NMO","Nematogobius maindroni","","",""
"NMP","Nematistius pectoralis","Roosterfish","",""
"NMQ","Metapenaeopsis rosea","Pink velvet shrimp","Crevette chamois rosée","Camarón gamuza rosado"
"NMR","Nemanthias carberryi","Threadfin anthias","",""
"NMS","Nemaclinus atelestos","Threadfin blenny","",""
"NMT","Neamia octospina","Eightspine cardinalfish","",""
"NMU","Metapenaeopsis novaeguineae","Northern velvet shrimp","Crevette chamois nordique","Camarón gamuza norteño"
"NMV","Nimbochromis fuscotaeniatus","Fuscotaeniatus","",""
"NMW","Nomeus spp","","",""
"NMX","Nyctiphanes simplex","","",""
"NMY","Metapenaeopsis stridulans","Fiddler shrimp","Crevette violoneux","Camarón violinista"
"NMZ","Nematogobius brachynemus","","",""
"NNA","Nannopetersius ansorgii","","",""
"NNB","Nannostomus beckfordi","Golden pencilfish","",""
"NNC","Nemipterus celebicus","Celebes threadfin bream","",""
"NND","Nemipterus tambuloides","Fivelined threadfin bream","",""
"NNE","Labichthys yanoi","","",""
"NNF","Nemipterus nematophorus","Doublewhip threadfin bream","",""
"NNG","Nettenchelys gephyra","","",""
"NNH","Nemipterus hexodon","Ornate threadfin bream","",""
"NNI","Nemipterus balinensis","Balinese threadfin bream","",""
"NNJ","Nemipterus japonicus","Japanese threadfin bream","Cohana japonaise","Baga japonesa"
"NNK","Nemipterus peronii","Notchedfin threadfin bream","Cohana tolu","Baga tolú"
"NNL","Lipogenys gillii","","",""
"NNM","Nemipterus marginatus","Red filament threadfin bream","",""
"NNN","Notacanthus chemnitzii","Spiny eel","",""
"NNO","Nemipterus mesoprion","Mauvelip threadfin bream","",""
"NNP","Polyacanthonotus rissoanus","","",""
"NNQ","Nemipterus nemurus","Redspine threadfin bream","",""
"NNR","Nemipterus gracilis","Graceful threadfin bream","",""
"NNS","Nettastoma solitarium","","",""
"NNT","Nemipterus bathybius","Yellowbelly threadfin bream","",""
"NNU","Nannaethiops unitaeniatus","Oneline tetra","",""
"NNV","Notolepis annulata","Ringed barracudina","Barracudine annelée","Barracudina anillada"
"NNW","Pinna rudis","Rough pen shell","Jambonneau rude","Pina aspera"
"NNX","Neosebastes entaxis","Orange-banded scorpionfish","",""
"NNY","Nototheniops nybelini","","",""
"NNZ","Nemipterus randalli","Randall's threadfin bream","",""
"NOA","Notothenia acuta","Triangular rockcod","Bocasse triangulaire","Trama triangular"
"NOB","Nocomis biguttatus","Hornyhead chub","",""
"NOC","Notothenia coriiceps","Black rockcod","Bocasse noire","Trama negra"
"NOD","Nototheniops nudifrons","Yellowfin notie","Bocassette dégarnie","Doradillo pobre"
"NOE","Notolepis spp","Barracudinas nei","Barracudines nca","Barracudinas nep"
"NOF","Notothenia angustifrons","Narrowhead rockcod","Bocasse obtuse","Trama"
"NOG","Notothenia gibberifrons","Humped rockcod","Bocasse bossue","Trama jorobada"
"NOH","Nocomis leptocephalus","Bluehead chub","",""
"NOI","Nocomis micropogon","River chub","",""
"NOJ","Clinoporus biporosus","Ladder klipfish","",""
"NOK","Notothenia kempi","Striped-eyed rockcod","Bocasse aux yeux rayés","Trama ojirayada"
"NOL","Nototheniops larseni","Painted notie","Bocassette écrivain","Doradillo escribano"
"NOM","Paranotothenia magellanica","Magellanic rockcod","Bocasse magellanique","Trama común"
"NON","Notothenia neglecta","Yellowbelly rockcod","Bocasse jaune","Trama amarilla"
"NOO","Notoscopelus bolini","","",""
